"监测监控安装、运维工程师","12","2023-02-11 21:31:48","5","30","2022-12-14 11:18:46","本科及以上","南通恒泰企业服务有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/8nzxvwyjv6h58rsr.png","江苏","100-499人","五险一金，带薪年假，岗位晋升，技能培训，年终奖，年度旅游，交通补助，午餐补助，通讯津贴，节日礼物","仪器仪表 自动化 信息工程 环境工程 电力工程等相关专业","民营企业"
"销售工程师","50","2023-02-11 21:31:48","5","10","2022-12-14 11:19:05","本科及以上","南通恒泰企业服务有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/8nzxvwyjv6h58rsr.png","江苏","100-499人","五险一金，带薪年假，岗位晋升，技能培训，年终奖，年度旅游，交通补助，午餐补助，通讯津贴，节日礼物","市场营销 工商管理 经济与贸易","民营企业"
"商务助理（需要留用机会）","3.5","2023-02-11 21:27:34","2.2","1","2023-02-01 15:15:20","本科及以上","苏州协君法律咨询服务有限公司","","江苏","1-49人","五险一金，带薪年假，岗位晋升，技能培训，年度旅游，节日礼物","市场营销 广告 传媒 法学 工程管理 国际贸易类 文秘 秘书 汉语言","民营企业"
"经理助理","7","2023-02-11 21:27:28","5.5","1","2023-02-01 15:43:01","本科及以上","苏州协君法律咨询服务有限公司","","江苏","1-49人","五险一金，带薪年假，岗位晋升，技能培训，年度旅游，节日礼物","视觉设计 广告学 广播电视学 网络与新媒体 播音与主持艺术 新闻学 汉语言文学 新闻学 新闻传播 数字媒体 秘书学","民营企业"
"法务助理","9.5","2023-02-11 21:27:17","6","2","2023-02-01 12:11:30","本科及以上","苏州协君法律咨询服务有限公司","","江苏","1-49人","五险一金，带薪年假，岗位晋升，技能培训，年度旅游，节日礼物","民法 商法 法学 经济法 民事诉讼法 国际法 环境法","民营企业"
"文案策划编辑","7","2023-02-11 21:27:08","5.5","2","2023-02-06 19:19:47","本科及以上","苏州协君法律咨询服务有限公司","","江苏","1-49人","五险一金，带薪年假，岗位晋升，技能培训，年度旅游，节日礼物","视觉设计 平面 广告学 广播电视学 网络与新媒体 播音与主持艺术 新闻学 汉语言文学 新闻学 新闻传播","民营企业"
"安全工程师","9.9","2023-02-11 21:26:20","2.5","2","2023-01-31 17:42:16","专科及以上","甘肃海川若水管理咨询有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"水保工程师","9.9","2023-02-11 21:26:15","2.5","2","2023-01-31 17:42:21","专科及以上","甘肃海川若水管理咨询有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关","民营企业"
"环境工程师","9.9","2023-02-11 21:26:08","2.5","2","2023-01-31 17:42:25","专科及以上","甘肃海川若水管理咨询有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关","民营企业"
"实习安全工程师","5","2023-02-11 21:25:59","2","2","2023-02-08 20:38:52","本科及以上","甘肃海川若水管理咨询有限公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"实习水保工程师","5","2023-02-11 21:25:54","2","2","2023-02-08 20:38:59","本科及以上","甘肃海川若水管理咨询有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"实习环境工程师","5","2023-02-11 21:25:51","2","2","2023-02-08 20:39:03","本科及以上","甘肃海川若水管理咨询有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","甘肃","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","环境相关类 水利水电相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"水利水电工程师","10","2023-02-11 21:25:48","3","3","2023-02-08 20:44:37","本科及以上","甘肃海川若水管理咨询有限公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","全国","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","水利水电相关类 环境相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"实习水利水电工程师","3","2023-02-11 21:25:45","1.5","3","2023-02-08 20:46:00","本科及以上","甘肃海川若水管理咨询有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/4a6w6ijwwtriqxre.png","全国","1-49人","岗位晋升，技能培训，弹性工作，扁平管理，年终奖，专项奖金，绩效奖金","水利水电相关类 环境相关类 自然资源相关类 土木工程相关 安全管理相关类","民营企业"
"电话营销","12","2023-02-11 21:15:08","5","15","2022-12-15 14:07:42","不限","天津梧桐树装饰工程有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/vtltqyv1jhzkz6i5.png","天津","100-499人","岗位晋升，技能培训，绩效奖金，通讯津贴，节日礼物，提供住宿","","民营企业"
"客服调研","5","2023-02-11 21:01:45","3","20","2023-01-13 11:14:20","专科及以上","西安领科实业有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/x4e3xlrup3v5w9kz.png","安徽","100-499人","五险一金","计算机类专业、电子商务、物流管理、网络营销、国际贸易、新媒体、设计","民营企业"
